RowID	SRR1732329.String.counts.fpkm	
ENST00000262354.4	0.000000	
ENST00000269844.4	0.000000	
ENST00000270112.6	2.245440	
ENST00000270139.7	671.905518	
ENST00000270142.10	140.033829	
ENST00000270162.6	305.153870	
ENST00000270172.7	0.000000	
ENST00000270190.8	61.137459	
ENST00000282964.5	98.865227	
ENST00000284878.11	4.356044	
ENST00000284881.8	224.329620	
ENST00000284885.7	0.000000	
ENST00000284894.8	0.000000	
ENST00000284971.7	3226.888428	
ENST00000284984.7	2926.806885	
ENST00000284987.5	24.412659	
ENST00000285667.3	1385.225586	
ENST00000285670.6	0.000000	
ENST00000285679.10	906.940063	
ENST00000285681.6	46.816422	
ENST00000286777.6	806.173462	
ENST00000286788.8	343.429169	
ENST00000286791.9	0.000000	
ENST00000286800.7	127.733345	
ENST00000286808.4	0.000000	
ENST00000286827.7	8.795788	
ENST00000286835.11	296.049133	
ENST00000288319.11	0.000000	
ENST00000288344.14	37.177414	
ENST00000288350.7	24.915028	
ENST00000288383.10	0.131738	
ENST00000290130.3	1292.430054	
ENST00000290155.7	819.014526	
ENST00000290178.4	269.723267	
ENST00000290200.6	587.885620	
ENST00000290219.10	1440.933838	
ENST00000290239.7	6.287819	
ENST00000290244.9	0.000000	
ENST00000290299.6	7451.409180	
ENST00000290310.3	12.778301	
ENST00000290349.10	6490.708008	
ENST00000290354.5	830.283081	
ENST00000290399.10	9.264304	
ENST00000291525.11	0.000000	
ENST00000291526.4	0.000000	
ENST00000291527.2	0.000000	
ENST00000291532.7	0.000000	
ENST00000291535.11	0.000000	
ENST00000291536.7	0.000000	
ENST00000291539.10	2.731926	
ENST00000291547.9	356.703064	
ENST00000291552.8	697.796997	
ENST00000291554.6	0.000000	
ENST00000291560.6	134.894287	
ENST00000291565.8	201.224747	
ENST00000291568.5	7044.834473	
ENST00000291572.12	0.548747	
ENST00000291574.8	201.168015	
ENST00000291576.11	428.223145	
ENST00000291577.10	29.352190	
ENST00000291582.5	0.000000	
ENST00000291592.5	1.035995	
ENST00000291634.10	732.972961	
ENST00000291670.9	0.000000	
ENST00000291672.5	0.000000	
ENST00000291688.5	685.469971	
ENST00000291691.11	138.397720	
ENST00000291700.8	0.000000	
ENST00000291705.10	153.523315	
ENST00000299295.6	0.000000	
ENST00000299340.8	1.653357	
ENST00000299443.5	0.000000	
ENST00000300255.6	0.000000	
ENST00000300258.7	2.318969	
ENST00000300260.7	122.293045	
ENST00000300278.8	74.284157	
ENST00000300305.7	85.720093	
ENST00000300481.13	0.000000	
ENST00000300482.9	0.000000	
ENST00000300527.8	632.075806	
ENST00000302347.9	0.000000	
ENST00000303071.9	423.543549	
ENST00000303113.10	188.876862	
ENST00000303645.9	0.000000	
ENST00000303775.9	212.763336	
ENST00000307301.11	6.794010	
ENST00000309117.10	219.925156	
ENST00000309331.8	0.790895	
ENST00000309434.8	0.000000	
ENST00000310645.9	129.261673	
ENST00000310826.9	3.587705	
ENST00000311003.6	1527.960205	
ENST00000311124.8	450.245789	
ENST00000312957.9	0.000000	
ENST00000313806.8	968.881653	
ENST00000314103.5	745.184814	
ENST00000314399.3	0.000000	
ENST00000318948.6	1023.061157	
ENST00000319294.10	0.000000	
ENST00000320216.10	0.000000	
ENST00000320371.6	1119.092529	
ENST00000323084.8	0.000000	
ENST00000324988.3	0.000000	
ENST00000325223.7	35.250618	
ENST00000327505.6	114.377136	
ENST00000327574.4	20.828669	
ENST00000327783.8	0.000000	
ENST00000328264.7	0.000000	
ENST00000328344.2	4.400834	
ENST00000328619.9	5.794150	
ENST00000328656.8	59.447483	
ENST00000328735.10	151.025482	
ENST00000328862.10	0.000000	
ENST00000329015.2	0.000000	
ENST00000329122.2	0.000000	
ENST00000329319.7	7.836800	
ENST00000329553.2	3.768675	
ENST00000329618.6	15.813155	
ENST00000329621.5	0.000000	
ENST00000329623.11	10.408568	
ENST00000329667.7	35.441589	
ENST00000330205.10	73.732231	
ENST00000330317.6	537.143372	
ENST00000330333.10	34.374157	
ENST00000330490.3	0.000000	
ENST00000330551.3	20.504328	
ENST00000330714.7	61.106770	
ENST00000330798.2	0.000000	
ENST00000330938.7	11891.838867	
ENST00000330942.9	148.316895	
ENST00000331343.11	203.824585	
ENST00000331573.7	720.591553	
ENST00000331923.8	0.391856	
ENST00000332131.8	99.319374	
ENST00000332149.9	0.000000	
ENST00000332378.5	0.000000	
ENST00000332440.3	23.052069	
ENST00000332473.2	45.589466	
ENST00000332512.7	1331.278931	
ENST00000332587.8	2.613809	
ENST00000332859.10	4583.388184	
ENST00000333229.6	57.609520	
ENST00000333337.3	0.000000	
ENST00000333634.8	1.014447	
ENST00000333781.9	528.145447	
ENST00000333892.2	0.000000	
ENST00000334046.5	0.000000	
ENST00000334055.4	0.000000	
ENST00000334058.2	0.000000	
ENST00000334063.5	0.000000	
ENST00000334067.4	0.000000	
ENST00000334068.3	0.000000	
ENST00000334151.2	0.000000	
ENST00000334160.5	0.000000	
ENST00000334165.4	0.000000	
ENST00000334352.8	0.174616	
ENST00000334494.8	24.011673	
ENST00000334538.13	15.966375	
ENST00000334662.2	0.000000	
ENST00000334664.3	0.000000	
ENST00000334670.9	0.000000	
ENST00000334680.3	0.000000	
ENST00000334849.2	0.000000	
ENST00000334897.4	0.000000	
ENST00000335093.4	0.000000	
ENST00000335440.10	0.000000	
ENST00000335512.8	0.000000	
ENST00000336648.8	15.921830	
ENST00000337385.7	0.000000	
ENST00000337909.5	0.000000	
ENST00000338326.4	0.000000	
ENST00000338785.7	9.073715	
ENST00000339024.8	0.000000	
ENST00000339195.10	27.808058	
ENST00000339659.8	88.913910	
ENST00000339775.10	1249.414429	
ENST00000339818.8	231.871002	
ENST00000339944.4	0.000000	
ENST00000340344.4	301.232239	
ENST00000340345.5	0.000000	
ENST00000340648.5	1366.298218	
ENST00000341322.4	138.675247	
ENST00000341618.8	0.000000	
ENST00000342101.7	85.253204	
ENST00000342108.2	0.000000	
ENST00000342136.8	189.166031	
ENST00000342220.9	1414.676270	
ENST00000342449.7	95.468033	
ENST00000342757.2	0.000000	
ENST00000343118.5	18.739553	
ENST00000343528.10	0.000000	
ENST00000343687.7	0.000000	
ENST00000344330.8	4.006507	
ENST00000344577.6	0.763085	
ENST00000344691.8	386.318237	
ENST00000344693.5	0.000000	
ENST00000345496.6	111.301407	
ENST00000346798.7	15849.415039	
ENST00000347667.5	513.023804	
ENST00000347800.6	0.000000	
ENST00000348354.6	415.883789	
ENST00000348499.9	81.578712	
ENST00000348831.8	5.180046	
ENST00000348990.9	116.883484	
ENST00000349048.8	535.404480	
ENST00000349112.7	0.000000	
ENST00000349485.9	81.980232	
ENST00000349499.2	0.000000	
ENST00000351097.9	0.000000	
ENST00000351429.7	71.105415	
ENST00000352133.2	336.790436	
ENST00000352178.9	0.000000	
ENST00000352483.3	0.978625	
ENST00000352957.8	2700.648438	
ENST00000354192.7	390.208344	
ENST00000354250.6	434.104370	
ENST00000354333.5	11.540193	
ENST00000354749.6	11.020355	
ENST00000354828.7	274.678558	
ENST00000355153.8	7.475621	
ENST00000355189.7	5.166804	
ENST00000355459.3	0.000000	
ENST00000355480.9	0.000000	
ENST00000355666.5	0.000000	
ENST00000355680.7	417.690674	
ENST00000356275.10	0.000000	
ENST00000356396.8	4.824045	
ENST00000356577.8	2.566837	
ENST00000357345.7	0.000000	
ENST00000357401.3	0.000000	
ENST00000357704.8	0.000000	
ENST00000357903.7	397.365540	
ENST00000357985.6	0.000000	
ENST00000358268.6	0.000000	
ENST00000358356.9	82.205315	
ENST00000358455.4	215397.921875	
ENST00000358918.7	257.751373	
ENST00000359341.3	6.981622	
ENST00000359568.9	274.336426	
ENST00000359624.7	3.682657	
ENST00000359726.7	0.000000	
ENST00000359759.8	1.553101	
ENST00000360214.7	0.548045	
ENST00000360525.8	56.314007	
ENST00000360542.4	0.000000	
ENST00000360697.4	0.000000	
ENST00000360731.7	0.000000	
ENST00000360770.3	0.000000	
ENST00000360938.7	1234.926514	
ENST00000361093.9	1725.198608	
ENST00000361371.9	0.000000	
ENST00000361534.6	3.038788	
ENST00000361802.6	0.000000	
ENST00000361866.7	779.881775	
ENST00000362077.4	5.134477	
ENST00000362160.1	0.000000	
ENST00000362728.1	0.000000	
ENST00000362828.1	0.000000	
ENST00000362936.1	2.437772	
ENST00000363092.1	0.000000	
ENST00000363343.1	0.000000	
ENST00000363884.1	0.000000	
ENST00000363922.1	4.230245	
ENST00000364155.1	4.236041	
ENST00000364942.1	0.000000	
ENST00000365114.1	0.000000	
ENST00000365369.1	0.000000	
ENST00000365469.1	0.000000	
ENST00000366093.6	6.375275	
ENST00000366423.2	408.034454	
ENST00000367071.4	0.000000	
ENST00000379571.3	49.329594	
ENST00000379960.9	2.293123	
ENST00000380008.1	0.000000	
ENST00000380010.8	15.565407	
ENST00000380095.2	0.000000	
ENST00000380221.7	272.545074	
ENST00000380276.6	0.000000	
ENST00000380328.6	0.000000	
ENST00000380486.3	289.429779	
ENST00000380588.4	28.761969	
ENST00000380604.7	0.000000	
ENST00000380612.8	0.000000	
ENST00000380618.5	14.829445	
ENST00000380620.8	380.149933	
ENST00000380631.5	48.234917	
ENST00000380634.5	0.000000	
ENST00000380637.7	114.295639	
ENST00000380671.6	0.810633	
ENST00000380708.5	417.255676	
ENST00000380713.7	0.000000	
ENST00000380747.5	0.000000	
